iteration,residual_K
1,3.5391705069e1
2,8.5414021743e0
3,5.2273760757e0
4,3.5376639074e0
5,2.8241389905e0
6,2.3201555352e0
7,1.9449753851e0
8,1.6896669264e0
9,1.5088742476e0
10,1.3562604937e0
11,1.2265796098e0
12,1.1155834407e0
13,1.0311804807e0
14,9.6169074138e-1
15,8.9911717528e-1
16,8.4264584939e-1
17,7.9155177590e-1
18,7.4519796878e-1
19,7.0566402324e-1
20,6.7290352450e-1
21,6.4239130480e-1
22,6.1394943408e-1
23,5.8741100719e-1
24,5.6262123570e-1
25,5.3943765038e-1
26,5.1772977762e-1
27,4.9946934207e-1
28,4.8279162730e-1
29,4.6694235174e-1
30,4.5187417113e-1
31,4.3754173017e-1
32,4.2390187947e-1
33,4.1091377608e-1
34,3.9853891198e-1
35,3.8674108366e-1
36,3.7646329945e-1
37,3.6694571198e-1
38,3.5778629458e-1
39,3.4896971066e-1
40,3.4048105197e-1
41,3.3230593126e-1
42,3.2443043098e-1
43,3.1684120240e-1
44,3.0952545322e-1
45,3.0247094864e-1
46,2.9588573783e-1
47,2.9001007177e-1
48,2.8430765357e-1
49,2.7877275300e-1
50,2.7339974293e-1
51,2.6818311766e-1
52,2.6311750658e-1
53,2.5819768414e-1
54,2.5341857671e-1
55,2.4877526698e-1
56,2.4426299636e-1
57,2.3987721487e-1
58,2.3581277745e-1
59,2.3205985089e-1
60,2.2839559778e-1
61,2.2481765727e-1
62,2.2132370125e-1
63,2.1791143951e-1
64,2.1457862400e-1
65,2.1132305206e-1
66,2.0814256899e-1
67,2.0503506996e-1
68,2.0199850133e-1
69,1.9903086154e-1
70,1.9613020163e-1
71,1.9336153038e-1
72,1.9083095968e-1
73,1.8834920064e-1
74,1.8591518577e-1
75,1.8352785893e-1
76,1.8118617710e-1
77,1.7888911189e-1
78,1.7663565075e-1
79,1.7442479803e-1
80,1.7225557578e-1
81,1.7012702438e-1
82,1.6803820308e-1
83,1.6598819037e-1
84,1.6397608421e-1
85,1.6200100220e-1
86,1.6016316066e-1
87,1.5841014820e-1
88,1.5668503785e-1
89,1.5498731808e-1
90,1.5331648224e-1
91,1.5167202921e-1
92,1.5005346385e-1
93,1.4846029742e-1
94,1.4689204798e-1
95,1.4534824066e-1
96,1.4382856849e-1
97,1.4233315819e-1
98,1.4086084406e-1
99,1.3941118044e-1
100,1.3798372954e-1
101,1.3657806151e-1
102,1.3525530220e-1
103,1.3399119860e-1
104,1.3274393623e-1
105,1.3151325618e-1
106,1.3029890159e-1
107,1.2910061792e-1
108,1.2791815311e-1
109,1.2675125780e-1
110,1.2559968538e-1
111,1.2446319221e-1
112,1.2334153769e-1
113,1.2223448432e-1
114,1.2114179784e-1
115,1.2006324723e-1
116,1.1899860480e-1
117,1.1794764623e-1
118,1.1691015057e-1
119,1.1589482808e-1
120,1.1495188232e-1
121,1.1401955810e-1
122,1.1309771913e-1
123,1.1218623002e-1
124,1.1128495631e-1
125,1.1039376456e-1
126,1.0951252245e-1
127,1.0864109881e-1
128,1.0777936371e-1
129,1.0692718847e-1
130,1.0608444575e-1
131,1.0525100954e-1
132,1.0442675524e-1
133,1.0361155965e-1
134,1.0280530102e-1
135,1.0200785904e-1
136,1.0121911490e-1
137,1.0043895127e-1
138,9.9677457614e-2
139,9.8961281023e-2
140,9.8252012124e-2
141,9.7549576838e-2
142,9.6853901436e-2
143,9.6164912584e-2
144,9.5482537370e-2
145,9.4806703340e-2
146,9.4137338525e-2
147,9.3474371468e-2
148,9.2817731248e-2
149,9.2167347498e-2
150,9.1523150428e-2
151,9.0885070842e-2
152,9.0253040148e-2
153,8.9626990378e-2
154,8.9006854195e-2
155,8.8392564906e-2
156,8.7784056469e-2
157,8.7181263504e-2
158,8.6584121293e-2
159,8.6021060266e-2
160,8.5467870693e-2
161,8.4919321724e-2
162,8.4375371446e-2
163,8.3835978087e-2
164,8.3301100030e-2
165,8.2770695827e-2
166,8.2244724219e-2
167,8.1723144144e-2
168,8.1205914755e-2
169,8.0692995428e-2
170,8.0184345773e-2
171,7.9679925645e-2
172,7.9179695155e-2
173,7.8683614674e-2
174,7.8191644843e-2
175,7.7703746581e-2
176,7.7219881088e-2
177,7.6740009854e-2
178,7.6264094663e-2
179,7.5792097597e-2
180,7.5324723864e-2
181,7.4884586768e-2
182,7.4447716949e-2
183,7.4014089445e-2
184,7.3583679330e-2
185,7.3156461720e-2
186,7.2732411783e-2
187,7.2311504748e-2
188,7.1893715914e-2
189,7.1479020653e-2
190,7.1067394422e-2
191,7.0658812766e-2
192,7.0253251326e-2
193,6.9850685845e-2
194,6.9451092172e-2
195,6.9054446266e-2
196,6.8660724205e-2
197,6.8269902185e-2
198,6.7881956527e-2
199,6.7496863683e-2
200,6.7114600234e-2
201,6.6735142896e-2
202,6.6358468526e-2
203,6.5984554118e-2
204,6.5626848681e-2
205,6.5275770973e-2
206,6.4927034565e-2
207,6.4580623853e-2
208,6.4236523240e-2
209,6.3894717142e-2
210,6.3555189993e-2
211,6.3217926244e-2
212,6.2882910376e-2
213,6.2550126899e-2
214,6.2219560353e-2
215,6.1891195320e-2
216,6.1565016419e-2
217,6.1241008315e-2
218,6.0919155720e-2
219,6.0599443396e-2
220,6.0281856155e-2
221,5.9966378870e-2
222,5.9652996466e-2
223,5.9341693933e-2
224,5.9032456321e-2
225,5.8725268745e-2
226,5.8420116387e-2
227,5.8116984498e-2
228,5.7816405533e-2
229,5.7530342635e-2
230,5.7246016800e-2
231,5.6963417776e-2
232,5.6682535305e-2
233,5.6403359129e-2
234,5.6125878992e-2
235,5.5850084643e-2
236,5.5575965836e-2
237,5.5303512335e-2
238,5.5032713917e-2
239,5.4763560372e-2
240,5.4496041507e-2
241,5.4230147145e-2
242,5.3965867133e-2
243,5.3703191335e-2
244,5.3442109644e-2
245,5.3182611975e-2
246,5.2924688272e-2
247,5.2668328507e-2
248,5.2413522681e-2
249,5.2160260830e-2
250,5.1908533018e-2
251,5.1658329348e-2
252,5.1409639955e-2
253,5.1162455014e-2
254,5.0916764733e-2
255,5.0681137593e-2
256,5.0448070746e-2
257,5.0216307166e-2
258,4.9985839809e-2
259,4.9756661631e-2
260,4.9528765588e-2
261,4.9302144636e-2
262,4.9076791734e-2
263,4.8852699844e-2
264,4.8629861935e-2
265,4.8408270982e-2
266,4.8187919969e-2
267,4.7968801886e-2
268,4.7750909738e-2
269,4.7534236538e-2
270,4.7318775313e-2
271,4.7104519105e-2
272,4.6891460968e-2
273,4.6679593973e-2
274,4.6468911210e-2
275,4.6259405781e-2
276,4.6051070812e-2
277,4.5843899444e-2
278,4.5637884841e-2
279,4.5433020186e-2
280,4.5229298684e-2
281,4.5026713561e-2
282,4.4827204031e-2
283,4.4634270418e-2
284,4.4442338657e-2
285,4.4251403738e-2
286,4.4061460651e-2
287,4.3872504384e-2
288,4.3684529928e-2
289,4.3497532274e-2
290,4.3311506416e-2
291,4.3126447353e-2
292,4.2942350085e-2
293,4.2759209620e-2
294,4.2577020970e-2
295,4.2395779155e-2
296,4.2215479199e-2
297,4.2036116137e-2
298,4.1857685012e-2
299,4.1680180874e-2
300,4.1503598784e-2
301,4.1327933815e-2
302,4.1153260750e-2
303,4.0979650112e-2
304,4.0806939028e-2
305,4.0635122638e-2
306,4.0464196096e-2
307,4.0294154566e-2
308,4.0124993230e-2
309,3.9956707281e-2
310,3.9789291927e-2
311,3.9622742392e-2
312,3.9462706486e-2
313,3.9303464267e-2
314,3.9144993737e-2
315,3.8987291251e-2
316,3.8830353170e-2
317,3.8674175853e-2
318,3.8518755663e-2
319,3.8364088965e-2
320,3.8210172128e-2
321,3.8057001525e-2
322,3.7904573532e-2
323,3.7752884530e-2
324,3.7601930906e-2
325,3.7451709052e-2
326,3.7302215366e-2
327,3.7153446251e-2
328,3.7005398118e-2
329,3.6858067384e-2
330,3.6711450475e-2
331,3.6565543822e-2
332,3.6420343867e-2
333,3.6275847058e-2
334,3.6132049852e-2
335,3.5988948715e-2
336,3.5846540123e-2
337,3.5704820559e-2
338,3.5563786519e-2
339,3.5423434507e-2
340,3.5283761036e-2
341,3.5144762631e-2
342,3.5008505124e-2
343,3.4875191328e-2
344,3.4742484534e-2
345,3.4610382025e-2
346,3.4478881085e-2
347,3.4347979003e-2
348,3.4217673069e-2
349,3.4087960576e-2
350,3.3958838820e-2
351,3.3830305100e-2
352,3.3702356719e-2
353,3.3574990985e-2
354,3.3448205209e-2
355,3.3321996706e-2
356,3.3196362797e-2
357,3.3071300808e-2
358,3.2946808067e-2
359,3.2822881912e-2
360,3.2699519684e-2
361,3.2576718728e-2
362,3.2454476399e-2
363,3.2332790054e-2
364,3.2211657060e-2
365,3.2091074789e-2
366,3.1971040617e-2
367,3.1851551931e-2
368,3.1732606123e-2
369,3.1614200592e-2
370,3.1496332744e-2
371,3.1378999994e-2
372,3.1262199763e-2
373,3.1145929479e-2
374,3.1031907637e-2
375,3.0920064814e-2
376,3.0808702431e-2
377,3.0697818431e-2
378,3.0587410757e-2
379,3.0477477358e-2
380,3.0368016183e-2
381,3.0259025187e-2
382,3.0150502324e-2
383,3.0042445554e-2
384,2.9934852841e-2
385,2.9827722149e-2
386,2.9721051450e-2
387,2.9614838716e-2
388,2.9509081926e-2
389,2.9403779062e-2
390,2.9298928109e-2
391,2.9194527057e-2
392,2.9090573902e-2
393,2.8987066643e-2
394,2.8884003284e-2
395,2.8781381834e-2
396,2.8679200307e-2
397,2.8577456721e-2
398,2.8476149101e-2
399,2.8375275476e-2
400,2.8274833880e-2
401,2.8174822353e-2
402,2.8075238940e-2
403,2.7976081693e-2
404,2.7877348668e-2
405,2.7779037927e-2
406,2.7681147538e-2
407,2.7583930285e-2
408,2.7489528195e-2
409,2.7395509889e-2
410,2.7301873788e-2
411,2.7208618317e-2
412,2.7115741904e-2
413,2.7023242979e-2
414,2.6931119974e-2
415,2.6839371325e-2
416,2.6747995471e-2
417,2.6656990851e-2
418,2.6566355912e-2
419,2.6476089100e-2
420,2.6386188866e-2
421,2.6296653665e-2
422,2.6207481953e-2
423,2.6118672193e-2
424,2.6030222847e-2
425,2.5942132385e-2
426,2.5854399278e-2
427,2.5767022001e-2
428,2.5679999035e-2
429,2.5593328862e-2
430,2.5507009970e-2
431,2.5421040849e-2
432,2.5335419996e-2
433,2.5250145909e-2
434,2.5165217092e-2
435,2.5080632052e-2
436,2.4996389303e-2
437,2.4912487360e-2
438,2.4828924743e-2
439,2.4745699979e-2
440,2.4662811596e-2
441,2.4580258128e-2
442,2.4498530247e-2
443,2.4418726538e-2
444,2.4339230609e-2
445,2.4260041241e-2
446,2.4181157216e-2
447,2.4102577320e-2
448,2.4024300340e-2
449,2.3946325066e-2
450,2.3868650290e-2
451,2.3791274808e-2
452,2.3714197418e-2
453,2.3637416919e-2
454,2.3560932114e-2
455,2.3484741810e-2
456,2.3408844814e-2
457,2.3333239938e-2
458,2.3257925996e-2
459,2.3182901805e-2
460,2.3108166186e-2
461,2.3033717962e-2
462,2.2959555958e-2
463,2.2885679004e-2
464,2.2812085933e-2
465,2.2738775579e-2
466,2.2665746782e-2
467,2.2592998383e-2
468,2.2520529228e-2
469,2.2448338164e-2
470,2.2376424045e-2
471,2.2304785724e-2
472,2.2233422061e-2
473,2.2162331916e-2
474,2.2091514156e-2
475,2.2020967650e-2
476,2.1950691268e-2
477,2.1880683888e-2
478,2.1810944388e-2
479,2.1742961818e-2
480,2.1675391347e-2
481,2.1608068524e-2
482,2.1540992402e-2
483,2.1474162034e-2
484,2.1407576476e-2
485,2.1341234786e-2
486,2.1275136026e-2
487,2.1209279256e-2
488,2.1143663541e-2
489,2.1078287950e-2
490,2.1013151550e-2
491,2.0948253413e-2
492,2.0883592613e-2
493,2.0819168225e-2
494,2.0754979329e-2
495,2.0691025004e-2
496,2.0627304334e-2
497,2.0563816405e-2
498,2.0500560305e-2
499,2.0437535124e-2
500,2.0374739955e-2
501,2.0312173894e-2
502,2.0249836039e-2
503,2.0187725490e-2
504,2.0125841350e-2
505,2.0064182727e-2
506,2.0002748727e-2
507,1.9941538461e-2
508,1.9880551044e-2
509,1.9819785592e-2
510,1.9759241223e-2
511,1.9698917060e-2
512,1.9638812226e-2
513,1.9578925849e-2
514,1.9519257058e-2
515,1.9459804987e-2
516,1.9400632732e-2
517,1.9342921492e-2
518,1.9285411572e-2
519,1.9228102226e-2
520,1.9170992714e-2
521,1.9114082295e-2
522,1.9057370231e-2
523,1.9000855785e-2
524,1.8944538223e-2
525,1.8888416811e-2
526,1.8832490820e-2
527,1.8776759518e-2
528,1.8721222180e-2
529,1.8665878079e-2
530,1.8610726492e-2
531,1.8555766698e-2
532,1.8500997976e-2
533,1.8446419610e-2
534,1.8392030882e-2
535,1.8337831080e-2
536,1.8283819491e-2
537,1.8229995405e-2
538,1.8176358115e-2
539,1.8122906915e-2
540,1.8069641102e-2
541,1.8016559972e-2
542,1.7963662827e-2
543,1.7910948968e-2
544,1.7858417701e-2
545,1.7806068331e-2
546,1.7753900167e-2
547,1.7701912521e-2
548,1.7650104703e-2
549,1.7598476030e-2
550,1.7547025818e-2
551,1.7495753387e-2
552,1.7444658057e-2
553,1.7393739151e-2
554,1.7342995996e-2
555,1.7292427919e-2
556,1.7242637474e-2
557,1.7193453438e-2
558,1.7144432808e-2
559,1.7095575003e-2
560,1.7046879439e-2
561,1.6998345535e-2
562,1.6949972713e-2
563,1.6901760394e-2
564,1.6853708003e-2
565,1.6805814965e-2
566,1.6758080707e-2
567,1.6710504656e-2
568,1.6663086244e-2
569,1.6615824901e-2
570,1.6568720060e-2
571,1.6521771156e-2
572,1.6474977626e-2
573,1.6428338906e-2
574,1.6381854437e-2
575,1.6335523659e-2
576,1.6289346014e-2
577,1.6243320947e-2
578,1.6197447903e-2
579,1.6151726331e-2
