i,j,x_m,y_m,temperature_K
0,0,0.003125,0.005000,338.658973
1,0,0.009375,0.005000,321.109814
2,0,0.015625,0.005000,313.210392
3,0,0.021875,0.005000,309.253634
4,0,0.028125,0.005000,307.038090
5,0,0.034375,0.005000,305.663862
6,0,0.040625,0.005000,304.736278
7,0,0.046875,0.005000,304.067913
8,0,0.053125,0.005000,303.562080
9,0,0.059375,0.005000,303.164803
10,0,0.065625,0.005000,302.843756
11,0,0.071875,0.005000,302.578398
12,0,0.078125,0.005000,302.355029
13,0,0.084375,0.005000,302.164141
14,0,0.090625,0.005000,301.998923
15,0,0.096875,0.005000,301.854356
16,0,0.103125,0.005000,301.726664
17,0,0.109375,0.005000,301.612947
18,0,0.115625,0.005000,301.510940
19,0,0.121875,0.005000,301.418849
20,0,0.128125,0.005000,301.335233
21,0,0.134375,0.005000,301.258923
22,0,0.140625,0.005000,301.188959
23,0,0.146875,0.005000,301.124546
24,0,0.153125,0.005000,301.065020
25,0,0.159375,0.005000,301.009819
26,0,0.165625,0.005000,300.958471
27,0,0.171875,0.005000,300.910568
28,0,0.178125,0.005000,300.865763
29,0,0.184375,0.005000,300.823754
30,0,0.190625,0.005000,300.784279
31,0,0.196875,0.005000,300.747108
32,0,0.203125,0.005000,300.712042
33,0,0.209375,0.005000,300.678901
34,0,0.215625,0.005000,300.647530
35,0,0.221875,0.005000,300.617788
36,0,0.228125,0.005000,300.589550
37,0,0.234375,0.005000,300.562705
38,0,0.240625,0.005000,300.537150
39,0,0.246875,0.005000,300.512796
40,0,0.253125,0.005000,300.489559
41,0,0.259375,0.005000,300.467364
42,0,0.265625,0.005000,300.446142
43,0,0.271875,0.005000,300.425831
44,0,0.278125,0.005000,300.406373
45,0,0.284375,0.005000,300.387714
46,0,0.290625,0.005000,300.369806
47,0,0.296875,0.005000,300.352604
48,0,0.303125,0.005000,300.336064
49,0,0.309375,0.005000,300.320148
50,0,0.315625,0.005000,300.304818
51,0,0.321875,0.005000,300.290041
52,0,0.328125,0.005000,300.275784
53,0,0.334375,0.005000,300.262017
54,0,0.340625,0.005000,300.248711
55,0,0.346875,0.005000,300.235839
56,0,0.353125,0.005000,300.223376
57,0,0.359375,0.005000,300.211297
58,0,0.365625,0.005000,300.199578
59,0,0.371875,0.005000,300.188199
60,0,0.378125,0.005000,300.177137
61,0,0.384375,0.005000,300.166373
62,0,0.390625,0.005000,300.155887
63,0,0.396875,0.005000,300.145660
64,0,0.403125,0.005000,300.135675
65,0,0.409375,0.005000,300.125913
66,0,0.415625,0.005000,300.116360
67,0,0.421875,0.005000,300.106997
68,0,0.428125,0.005000,300.097809
69,0,0.434375,0.005000,300.088781
70,0,0.440625,0.005000,300.079897
71,0,0.446875,0.005000,300.071144
72,0,0.453125,0.005000,300.062505
73,0,0.459375,0.005000,300.053969
74,0,0.465625,0.005000,300.045519
75,0,0.471875,0.005000,300.037143
76,0,0.478125,0.005000,300.028827
77,0,0.484375,0.005000,300.020558
78,0,0.490625,0.005000,300.012321
79,0,0.496875,0.005000,300.004105
0,1,0.003125,0.015000,351.636708
1,1,0.009375,0.015000,338.626116
2,1,0.015625,0.015000,329.537955
3,1,0.021875,0.015000,323.303395
4,1,0.028125,0.015000,318.960500
5,1,0.034375,0.015000,315.848176
6,1,0.040625,0.015000,313.545237
7,1,0.046875,0.015000,311.787653
8,1,0.053125,0.015000,310.408338
9,1,0.059375,0.015000,309.299262
10,1,0.065625,0.015000,308.388704
11,1,0.071875,0.015000,307.627703
12,1,0.078125,0.015000,306.981932
13,1,0.084375,0.015000,306.426713
14,1,0.090625,0.015000,305.943898
15,1,0.096875,0.015000,305.519869
16,1,0.103125,0.015000,305.144219
17,1,0.109375,0.015000,304.808864
18,1,0.115625,0.015000,304.507436
19,1,0.121875,0.015000,304.234849
20,1,0.128125,0.015000,303.986996
21,1,0.134375,0.015000,303.760524
22,1,0.140625,0.015000,303.552669
23,1,0.146875,0.015000,303.361131
24,1,0.153125,0.015000,303.183983
25,1,0.159375,0.015000,303.019598
26,1,0.165625,0.015000,302.866591
27,1,0.171875,0.015000,302.723776
28,1,0.178125,0.015000,302.590132
29,1,0.184375,0.015000,302.464776
30,1,0.190625,0.015000,302.346936
31,1,0.196875,0.015000,302.235939
32,1,0.203125,0.015000,302.131194
33,1,0.209375,0.015000,302.032175
34,1,0.215625,0.015000,301.938420
35,1,0.221875,0.015000,301.849514
36,1,0.228125,0.015000,301.765087
37,1,0.234375,0.015000,301.684809
38,1,0.240625,0.015000,301.608379
39,1,0.246875,0.015000,301.535527
40,1,0.253125,0.015000,301.466008
41,1,0.259375,0.015000,301.399599
42,1,0.265625,0.015000,301.336095
43,1,0.271875,0.015000,301.275309
44,1,0.278125,0.015000,301.217071
45,1,0.284375,0.015000,301.161221
46,1,0.290625,0.015000,301.107614
47,1,0.296875,0.015000,301.056114
48,1,0.303125,0.015000,301.006596
49,1,0.309375,0.015000,300.958941
50,1,0.315625,0.015000,300.913041
51,1,0.321875,0.015000,300.868792
52,1,0.328125,0.015000,300.826099
53,1,0.334375,0.015000,300.784871
54,1,0.340625,0.015000,300.745023
55,1,0.346875,0.015000,300.706473
56,1,0.353125,0.015000,300.669145
57,1,0.359375,0.015000,300.632966
58,1,0.365625,0.015000,300.597867
59,1,0.371875,0.015000,300.563783
60,1,0.378125,0.015000,300.530649
61,1,0.384375,0.015000,300.498406
62,1,0.390625,0.015000,300.466996
63,1,0.396875,0.015000,300.436361
64,1,0.403125,0.015000,300.406450
65,1,0.409375,0.015000,300.377210
66,1,0.415625,0.015000,300.348590
67,1,0.421875,0.015000,300.320542
68,1,0.428125,0.015000,300.293018
69,1,0.434375,0.015000,300.265972
70,1,0.440625,0.015000,300.239359
71,1,0.446875,0.015000,300.213135
72,1,0.453125,0.015000,300.187257
73,1,0.459375,0.015000,300.161682
74,1,0.465625,0.015000,300.136369
75,1,0.471875,0.015000,300.111276
76,1,0.478125,0.015000,300.086362
77,1,0.484375,0.015000,300.061588
78,1,0.490625,0.015000,300.036913
79,1,0.496875,0.015000,300.012298
0,2,0.003125,0.025000,355.101505
1,2,0.009375,0.025000,346.100994
2,2,0.015625,0.025000,338.560303
3,2,0.021875,0.025000,332.510490
4,2,0.028125,0.025000,327.732648
5,2,0.034375,0.025000,323.960464
6,2,0.040625,0.025000,320.958087
7,2,0.046875,0.025000,318.539024
8,2,0.053125,0.025000,316.562782
9,2,0.059375,0.025000,314.925520
10,2,0.065625,0.025000,313.550782
11,2,0.071875,0.025000,312.382020
12,2,0.078125,0.025000,311.377024
13,2,0.084375,0.025000,310.503929
14,2,0.090625,0.025000,309.738382
15,2,0.096875,0.025000,309.061532
16,2,0.103125,0.025000,308.458616
17,2,0.109375,0.025000,307.917930
18,2,0.115625,0.025000,307.430098
19,2,0.121875,0.025000,306.987531
20,2,0.128125,0.025000,306.584026
21,2,0.134375,0.025000,306.214467
22,2,0.140625,0.025000,305.874605
23,2,0.146875,0.025000,305.560876
24,2,0.153125,0.025000,305.270275
25,2,0.159375,0.025000,305.000251
26,2,0.165625,0.025000,304.748619
27,2,0.171875,0.025000,304.513506
28,2,0.178125,0.025000,304.293287
29,2,0.184375,0.025000,304.086554
30,2,0.190625,0.025000,303.892075
31,2,0.196875,0.025000,303.708769
32,2,0.203125,0.025000,303.535684
33,2,0.209375,0.025000,303.371976
34,2,0.215625,0.025000,303.216895
35,2,0.221875,0.025000,303.069772
36,2,0.228125,0.025000,302.930007
37,2,0.234375,0.025000,302.797061
38,2,0.240625,0.025000,302.670448
39,2,0.246875,0.025000,302.549727
40,2,0.253125,0.025000,302.434498
41,2,0.259375,0.025000,302.324397
42,2,0.265625,0.025000,302.219088
43,2,0.271875,0.025000,302.118268
44,2,0.278125,0.025000,302.021654
45,2,0.284375,0.025000,301.928988
46,2,0.290625,0.025000,301.840028
47,2,0.296875,0.025000,301.754553
48,2,0.303125,0.025000,301.672356
49,2,0.309375,0.025000,301.593243
50,2,0.315625,0.025000,301.517035
51,2,0.321875,0.025000,301.443561
52,2,0.328125,0.025000,301.372664
53,2,0.334375,0.025000,301.304194
54,2,0.340625,0.025000,301.238010
55,2,0.346875,0.025000,301.173978
56,2,0.353125,0.025000,301.111972
57,2,0.359375,0.025000,301.051871
58,2,0.365625,0.025000,300.993561
59,2,0.371875,0.025000,300.936933
60,2,0.378125,0.025000,300.881882
61,2,0.384375,0.025000,300.828309
62,2,0.390625,0.025000,300.776117
63,2,0.396875,0.025000,300.725213
64,2,0.403125,0.025000,300.675509
65,2,0.409375,0.025000,300.626918
66,2,0.415625,0.025000,300.579357
67,2,0.421875,0.025000,300.532745
68,2,0.428125,0.025000,300.487003
69,2,0.434375,0.025000,300.442055
70,2,0.440625,0.025000,300.397826
71,2,0.446875,0.025000,300.354242
72,2,0.453125,0.025000,300.311233
73,2,0.459375,0.025000,300.268727
74,2,0.465625,0.025000,300.226655
75,2,0.471875,0.025000,300.184949
76,2,0.478125,0.025000,300.143541
77,2,0.484375,0.025000,300.102364
78,2,0.490625,0.025000,300.061353
79,2,0.496875,0.025000,300.020440
0,3,0.003125,0.035000,356.527320
1,3,0.009375,0.035000,349.838730
2,3,0.015625,0.035000,343.766006
3,3,0.021875,0.035000,338.461338
4,3,0.028125,0.035000,333.930314
5,3,0.034375,0.035000,330.102047
6,3,0.040625,0.035000,326.877651
7,3,0.046875,0.035000,324.156776
8,3,0.053125,0.035000,321.849436
9,3,0.059375,0.035000,319.879714
10,3,0.065625,0.035000,318.185566
11,3,0.071875,0.035000,316.717095
12,3,0.078125,0.035000,315.434448
13,3,0.084375,0.035000,314.305827
14,3,0.090625,0.035000,313.305798
15,3,0.096875,0.035000,312.413928
16,3,0.103125,0.035000,311.613703
17,3,0.109375,0.035000,310.891689
18,3,0.115625,0.035000,310.236884
19,3,0.121875,0.035000,309.640216
20,3,0.128125,0.035000,309.094150
21,3,0.134375,0.035000,308.592390
22,3,0.140625,0.035000,308.129639
23,3,0.146875,0.035000,307.701412
24,3,0.153125,0.035000,307.303894
25,3,0.159375,0.035000,306.933816
26,3,0.165625,0.035000,306.588364
27,3,0.171875,0.035000,306.265104
28,3,0.178125,0.035000,305.961920
29,3,0.184375,0.035000,305.676963
30,3,0.190625,0.035000,305.408611
31,3,0.196875,0.035000,305.155435
32,3,0.203125,0.035000,304.916170
33,3,0.209375,0.035000,304.689691
34,3,0.215625,0.035000,304.474998
35,3,0.221875,0.035000,304.271193
36,3,0.228125,0.035000,304.077470
37,3,0.234375,0.035000,303.893102
38,3,0.240625,0.035000,303.717434
39,3,0.246875,0.035000,303.549869
40,3,0.253125,0.035000,303.389863
41,3,0.259375,0.035000,303.236923
42,3,0.265625,0.035000,303.090594
43,3,0.271875,0.035000,302.950459
44,3,0.278125,0.035000,302.816134
45,3,0.284375,0.035000,302.687264
46,3,0.290625,0.035000,302.563522
47,3,0.296875,0.035000,302.444602
48,3,0.303125,0.035000,302.330220
49,3,0.309375,0.035000,302.220111
50,3,0.315625,0.035000,302.114028
51,3,0.321875,0.035000,302.011736
52,3,0.328125,0.035000,301.913017
53,3,0.334375,0.035000,301.817666
54,3,0.340625,0.035000,301.725488
55,3,0.346875,0.035000,301.636298
56,3,0.353125,0.035000,301.549921
57,3,0.359375,0.035000,301.466191
58,3,0.365625,0.035000,301.384949
59,3,0.371875,0.035000,301.306045
60,3,0.378125,0.035000,301.229334
61,3,0.384375,0.035000,301.154676
62,3,0.390625,0.035000,301.081939
63,3,0.396875,0.035000,301.010994
64,3,0.403125,0.035000,300.941718
65,3,0.409375,0.035000,300.873990
66,3,0.415625,0.035000,300.807695
67,3,0.421875,0.035000,300.742720
68,3,0.428125,0.035000,300.678957
69,3,0.434375,0.035000,300.616298
70,3,0.440625,0.035000,300.554640
71,3,0.446875,0.035000,300.493880
72,3,0.453125,0.035000,300.433919
73,3,0.459375,0.035000,300.374660
74,3,0.465625,0.035000,300.316004
75,3,0.471875,0.035000,300.257858
